sample_id,DATASET_SPLIT,QUALITY_CLASS,DEFECT_TYPE,CAPTURE_INSTRUCTION,EXPECTED_EFFECT,HMAX,HC,BR,BS,LOOP_HZ,X_GAIN,Y_GAIN,X_OFFSET,Y_OFFSET,XY_COUPLING,ASYMMETRY,AMPLITUDE
IMG_0107,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,354.187,64.375,1.4693,1.7671,224.239,0.9124,0.9737,-0.0137,0.0433,0.0392,0.0036,1611.0
IMG_0108,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,210.339,67.191,0.2946,0.988,163.715,0.7102,0.7265,-0.0283,0.0594,-0.0191,0.018,714.0
IMG_0109,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,84.229,16.242,0.7832,1.0024,198.418,0.9392,0.9546,-0.0116,-0.004,0.3967,-0.2532,1519.0
IMG_0110,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,353.286,65.938,0.4834,1.1863,206.098,0.3528,0.5708,-0.0552,0.0474,0.0161,0.0235,407.0
IMG_0111,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,110.564,31.156,0.2687,1.0983,209.117,1.0414,0.9615,-0.0217,0.0384,-0.0383,-0.0232,1619.0
IMG_0112,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,271.096,34.958,0.4845,1.0087,238.076,0.9749,1.0111,-0.0062,-0.037,-0.0356,0.02,1535.0
IMG_0113,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,179.089,66.444,0.672,1.1932,231.037,1.0065,1.0842,-0.0188,0.0225,-0.1888,0.2473,1533.0
IMG_0114,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,389.334,55.714,0.6778,1.3195,191.107,1.6297,1.6914,0.0219,0.0106,-0.0167,-0.0236,1773.0
IMG_0115,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,410.91,64.957,0.8161,1.6532,179.586,1.0549,0.9582,0.0548,-0.0355,-0.0112,-0.0194,1529.0
IMG_0116,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,141.713,38.417,1.1568,1.5922,210.613,0.6502,0.6652,-0.0586,0.0355,0.0078,0.0177,284.0
IMG_0117,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,249.898,58.444,0.432,1.1661,207.451,1.0478,1.0138,0.038,-0.032,-0.0099,0.0123,1525.0
IMG_0118,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,273.687,66.814,1.0843,1.384,163.048,0.9585,1.0391,-0.0241,0.0376,-0.0318,-0.0174,1520.0
IMG_0119,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,411.758,64.995,0.8171,1.3118,197.649,0.9664,1.0296,-0.003,-0.0598,0.0336,-0.0049,1469.0
IMG_0120,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,378.322,65.823,0.8234,1.177,174.52,1.8531,1.6402,-0.0119,0.0383,-0.0246,-0.0009,1827.0
IMG_0121,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,Y 方向偏心并发生屏幕裁切,206.333,30.708,0.1683,0.7562,159.971,1.3503,1.3808,0.0297,-0.58,0.0006,0.0025,1379.0
IMG_0122,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,190.782,19.16,0.5794,0.9258,157.96,1.0427,0.9857,-0.0099,-0.0583,-0.3273,0.2643,1556.0
IMG_0123,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,349.347,45.421,0.9083,1.637,170.109,0.9836,1.0458,-0.0104,0.047,0.0158,-0.0001,1357.0
IMG_0124,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,258.221,72.183,0.4833,1.2938,170.94,1.0711,1.0488,-0.0354,0.0274,-0.0244,0.0071,1408.0
IMG_0125,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,90.28,20.126,0.2505,1.2125,221.402,0.999,0.9482,-0.029,0.0441,-0.0191,-0.0029,1495.0
IMG_0126,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,325.537,73.016,0.5156,1.1111,237.964,1.0894,0.9694,-0.0374,0.0291,-0.0347,0.0148,1376.0
IMG_0127,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,274.088,53.71,0.2907,0.7593,193.788,1.5595,1.3832,0.0153,0.0288,-0.0199,0.0023,1721.0
IMG_0128,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,62.434,7.225,1.098,1.4289,210.416,1.0648,0.9078,0.019,0.0474,0.0238,-0.0137,1639.0
IMG_0129,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,53.103,21.228,0.2547,0.8929,194.609,1.8861,1.5482,-0.0265,-0.0065,0.006,0.0083,1820.0
IMG_0130,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,366.747,49.329,1.0411,1.6676,170.584,0.9134,1.0552,0.0372,0.0418,0.0217,0.0141,1642.0
IMG_0131,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,179.121,37.898,0.6363,1.0987,166.104,0.3903,0.7472,0.0226,-0.0379,-0.0155,-0.0243,743.0
IMG_0132,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,47.36,15.88,1.307,1.5276,231.557,0.9216,0.973,-0.0228,-0.042,-0.0302,-0.014,1370.0
IMG_0133,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,Y 方向偏心并发生屏幕裁切,200.544,67.821,0.5287,1.5705,161.104,1.1785,1.2455,-0.031,0.5349,0.0036,0.0166,1636.0
IMG_0134,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,403.256,74.534,0.8884,1.4674,179.783,0.9347,1.0022,-0.0417,0.016,-0.3957,0.1898,1444.0
IMG_0135,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,78.521,25.101,0.9319,1.2592,186.412,0.372,0.4004,-0.0577,0.0582,0.0077,-0.0236,516.0
IMG_0136,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,112.969,17.883,0.2608,0.8397,215.06,0.9387,0.9852,-0.0164,0.0075,-0.0022,0.0139,1589.0
IMG_0137,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,99.261,11.1,0.6511,1.5726,235.184,0.3523,0.5099,-0.0091,-0.0264,0.0249,-0.0082,565.0
IMG_0138,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,410.855,55.936,0.1966,1.0895,229.704,1.0838,0.9095,-0.0051,-0.0144,0.0263,0.0032,1510.0
IMG_0139,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,387.701,71.628,0.7413,1.2241,222.943,1.0739,0.9329,-0.0113,0.0543,-0.0049,0.0031,1581.0
IMG_0140,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,242.446,58.335,0.4816,1.3981,206.035,1.0525,1.0721,0.0497,-0.0366,-0.0113,-0.022,1569.0
IMG_0141,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,175.503,42.393,0.4125,0.9105,201.737,0.9453,0.9863,-0.0041,0.0071,-0.4317,-0.2335,1355.0
IMG_0142,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,295.083,30.436,0.6696,1.4471,211.945,1.7995,1.377,0.0282,-0.035,-0.0064,0.0023,1825.0
IMG_0143,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,99.322,39.745,0.6223,0.725,187.378,0.9918,0.9864,0.0457,-0.0239,0.025,-0.005,1354.0
IMG_0144,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,222.628,43.327,0.5897,1.0174,172.062,1.0166,0.9471,-0.0574,0.0294,0.0337,0.003,1569.0
IMG_0145,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,106.72,16.198,0.9825,1.3271,221.969,0.4894,0.6256,-0.0322,-0.0504,-0.0079,-0.007,420.0
IMG_0146,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,192.364,47.997,0.5042,1.63,205.772,0.9081,1.0721,0.034,0.0396,0.0254,0.019,1515.0
IMG_0147,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,234.718,52.605,0.6579,1.0922,167.117,0.9859,1.0619,-0.0323,0.0104,-0.0047,-0.0069,1518.0
IMG_0148,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,91.676,12.799,0.8603,0.9792,162.998,0.9123,1.0297,0.0499,0.0045,0.0132,-0.0229,1364.0
IMG_0149,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,151.239,56.352,0.2396,1.3097,204.254,1.8463,1.4278,0.0221,-0.0489,-0.0377,0.0153,1825.0
IMG_0150,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,292.21,34.171,0.7676,1.2549,163.634,1.0951,0.9013,0.0225,-0.0328,-0.0254,0.0246,1392.0
IMG_0151,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,147.636,38.414,0.3826,1.1389,173.897,0.9762,1.0321,-0.0484,0.057,-0.0308,-0.014,1452.0
IMG_0152,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,339.62,72.796,0.4389,0.7647,200.011,1.7469,1.3892,-0.0084,0.0349,0.0163,-0.0217,1768.0
IMG_0153,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,74.652,10.675,0.592,1.4579,194.417,1.0116,1.0834,0.014,0.0205,0.0249,0.0055,1590.0
IMG_0154,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,201.096,25.22,1.0966,1.4838,210.682,0.5649,0.3668,-0.037,0.028,0.0303,-0.0118,670.0
IMG_0155,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,187.439,68.184,0.2062,0.8674,194.651,0.9717,1.0455,0.0362,-0.0316,-0.0125,0.003,1495.0
IMG_0156,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,166.949,42.537,0.5976,0.8612,229.411,0.9344,0.9418,0.028,-0.0033,-0.3355,-0.171,1534.0
IMG_0157,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,339.638,42.39,0.4082,0.9312,204.45,1.0467,1.0116,0.0503,-0.0027,0.0184,-0.0098,1623.0
IMG_0158,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,314.38,52.141,1.3225,1.6839,162.055,0.9466,1.0361,0.0393,0.0017,0.0045,-0.0004,1627.0
IMG_0159,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,205.274,43.68,1.1674,1.5961,228.417,0.6795,0.507,0.0262,0.0212,0.0191,0.0182,325.0
IMG_0160,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,93.14,15.832,0.3484,1.0246,185.149,0.9474,0.9517,-0.0112,-0.0031,-0.0342,-0.0055,1400.0
IMG_0161,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,163.22,58.641,0.7032,1.6382,182.158,1.032,1.0173,0.0215,0.013,0.0333,-0.0074,1356.0
IMG_0162,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,208.672,58.403,1.2581,1.6421,167.979,1.0927,0.9602,0.0255,0.0081,0.016,0.0171,1624.0
IMG_0163,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,237.52,36.175,0.8677,1.6164,185.703,1.4429,1.867,0.0482,0.0254,0.0199,-0.0139,1788.0
IMG_0164,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,291.998,35.076,0.9134,1.7177,229.84,0.9475,1.0923,0.0298,0.0254,0.1912,-0.209,1509.0
IMG_0165,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,54.522,11.124,0.2665,1.3141,227.602,1.0161,1.0076,0.0564,0.0278,-0.008,-0.0213,1449.0
IMG_0166,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,XY 方向偏心并发生屏幕裁切,329.0,66.088,1.2176,1.7314,161.743,1.1856,1.2681,-0.5379,0.7381,-0.0309,-0.0114,1636.0
IMG_0167,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,93.858,19.304,1.3483,1.6185,185.642,0.9612,1.0046,0.0027,0.0469,-0.023,0.0135,1371.0
IMG_0168,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,63.924,10.498,1.0901,1.4672,219.837,1.0877,1.0487,-0.0398,0.0143,-0.3102,-0.1722,1435.0
IMG_0169,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,93.606,29.729,0.5169,0.8011,227.967,0.9811,0.9452,0.0559,-0.0281,-0.0353,0.0175,1362.0
IMG_0170,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,46.097,15.691,0.6749,1.4945,219.335,0.5992,0.744,0.0258,-0.047,-0.0062,-0.0025,264.0
IMG_0171,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,65.36,15.467,0.6007,0.8121,172.08,1.0932,0.9318,0.0263,-0.0454,-0.0133,0.0156,1431.0
IMG_0172,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,190.976,74.862,0.8464,1.4015,232.329,1.005,1.0642,0.044,-0.0521,0.0128,-0.0045,1522.0
IMG_0173,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,98.685,16.771,0.439,1.7829,189.448,0.9373,1.0877,-0.0534,-0.0315,-0.0269,0.0147,1506.0
IMG_0174,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,208.175,40.118,0.337,0.9815,178.143,1.0229,0.9752,-0.0583,0.0356,0.0395,-0.0205,1572.0
IMG_0175,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,415.443,68.016,0.6355,1.7856,161.666,0.999,1.0464,0.0073,0.0283,-0.0253,-0.0206,1372.0
IMG_0176,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,331.883,54.105,0.6432,1.6256,179.475,1.0793,1.0474,-0.0194,0.0376,-0.4259,-0.1332,1412.0
IMG_0177,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,82.121,26.363,0.7823,1.7666,200.572,1.0648,0.9227,0.0486,0.0371,0.0089,0.0176,1448.0
IMG_0178,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,261.013,52.106,0.2697,0.8989,153.145,1.022,1.0025,-0.0596,-0.0155,-0.024,0.0125,1575.0
IMG_0179,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,112.248,15.495,0.3398,1.1417,216.815,1.0511,0.9086,0.0002,-0.017,0.1964,0.1603,1544.0
IMG_0180,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,X 方向偏心并发生屏幕裁切,348.68,39.513,0.8805,1.1752,179.225,1.3651,1.2386,0.5048,0.0483,0.0377,-0.0134,1436.0
IMG_0181,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,175.872,43.644,1.0003,1.2704,196.59,0.9232,1.05,0.0263,-0.0556,0.0271,0.0136,1476.0
IMG_0182,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,XY 方向偏心并发生屏幕裁切,147.57,43.675,1.3505,1.7969,231.835,1.318,1.0838,-0.5669,-0.7124,-0.0251,-0.0144,1384.0
IMG_0183,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,208.831,59.785,1.2215,1.7081,173.194,0.9356,1.0333,0.0086,-0.0086,0.0074,0.0149,1554.0
IMG_0184,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,54.592,6.681,0.2153,0.8308,154.245,0.9635,0.956,0.0397,-0.0414,-0.0304,0.0004,1469.0
IMG_0185,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,62.074,13.685,0.9631,1.3437,181.824,1.0547,0.9415,-0.0027,-0.0464,0.0063,-0.0202,1413.0
IMG_0186,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,121.242,35.983,1.0967,1.6729,157.959,0.9685,1.0365,0.034,-0.0541,0.0208,0.0247,1521.0
IMG_0187,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,292.184,41.476,0.4509,1.6674,165.807,0.6897,0.4644,-0.0277,0.0205,-0.0303,0.0167,273.0
IMG_0188,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,171.782,36.563,0.3713,1.0062,210.259,1.0663,0.9483,-0.0428,-0.0354,-0.0399,-0.0222,1610.0
IMG_0189,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,359.494,49.625,0.3348,0.9164,169.044,0.9438,1.0436,-0.0049,0.023,0.454,-0.1879,1594.0
IMG_0190,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,Y 方向偏心并发生屏幕裁切,107.051,23.917,0.6084,1.5993,238.135,1.2954,1.1183,-0.0474,-0.7274,-0.0208,-0.0051,1637.0
IMG_0191,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,346.429,49.529,0.3714,1.4752,185.826,1.0754,0.9532,0.0385,-0.0253,0.0205,0.0176,1614.0
IMG_0192,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,97.162,28.485,0.3446,0.848,206.968,0.9711,1.0629,0.0168,-0.0355,0.3384,-0.1911,1571.0
IMG_0193,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,136.81,19.587,0.8055,0.975,232.71,1.0151,1.0287,0.053,-0.0511,-0.2036,-0.1995,1499.0
IMG_0194,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,78.917,10.74,0.8346,1.1704,152.521,0.9353,1.0963,-0.0156,0.032,-0.0058,0.0143,1384.0
IMG_0195,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,57.045,15.637,0.3276,0.8706,162.107,1.0901,0.972,0.0034,-0.0499,0.0196,0.0004,1591.0
IMG_0196,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,283.758,54.213,0.4514,0.8473,186.091,0.9036,1.0147,0.0521,0.0212,-0.0356,-0.017,1373.0
IMG_0197,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,215.158,27.339,0.53,1.2645,153.803,0.5425,0.713,0.0404,-0.0495,-0.004,-0.0235,396.0
IMG_0198,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,160.353,66.098,1.2865,1.7667,191.629,0.9541,1.0065,-0.044,-0.0506,0.021,0.0186,1458.0
IMG_0199,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,162.18,25.314,0.5662,1.7381,214.988,0.9848,1.0649,0.0487,0.0073,0.0081,-0.0229,1546.0
IMG_0200,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,187.765,30.143,0.5121,0.714,152.135,0.9683,0.9294,-0.0275,-0.0308,-0.0282,-0.0055,1474.0
IMG_0201,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,139.494,30.212,1.0289,1.2354,211.826,1.0508,1.0216,-0.0134,-0.0279,-0.0048,0.002,1529.0
IMG_0202,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,68.414,8.869,0.3489,0.8628,213.475,0.9642,0.9253,-0.0253,-0.0461,-0.0128,0.0195,1359.0
IMG_0203,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,76.618,27.661,0.3564,1.5698,199.679,0.5935,0.4799,-0.0085,0.0335,-0.0296,0.0175,640.0
IMG_0204,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,112.394,13.829,1.0446,1.5294,177.046,0.9178,0.9279,0.0282,-0.0114,-0.0399,-0.009,1648.0
IMG_0205,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,X 方向偏心并发生屏幕裁切,312.286,71.259,0.5287,1.171,156.438,1.1273,1.1807,-0.7597,-0.036,0.0049,-0.0128,1497.0
IMG_0206,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,87.74,11.846,0.9156,1.3177,214.664,0.9824,1.0757,-0.0579,-0.0195,-0.0291,0.0007,1505.0
IMG_0207,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,97.377,11.249,1.0065,1.1725,233.876,0.9602,0.9498,0.0518,0.0112,-0.0261,-0.0009,1464.0
IMG_0208,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,61.378,7.276,0.5059,1.4755,196.553,1.0301,0.9851,-0.0124,-0.0458,0.0077,-0.0239,1546.0
IMG_0209,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,355.263,42.233,0.5733,0.7905,150.975,0.6506,0.377,0.0598,-0.0496,0.0156,0.0151,540.0
IMG_0210,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,49.419,11.812,0.863,1.5442,194.727,1.0041,1.0015,0.0286,0.032,-0.0151,0.0079,1455.0
IMG_0211,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,232.247,36.144,0.4791,1.6354,228.423,0.9028,0.9719,0.0547,-0.0184,0.0187,0.0151,1607.0
IMG_0212,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,57.856,15.949,0.9983,1.3787,235.397,0.7418,0.4136,-0.056,0.0219,-0.0069,-0.0206,341.0
